,0,0
0,-999.0,5.5
1,1.3900000000000001e-07,18.0
2,2.7e-07,18.5
3,5.4e-07,19.1
4,1.34e-06,20.5
5,2.7000000000000004e-06,21.9
6,5.11e-06,24.2
7,7.35e-06,25.9
8,9.03e-06,27.6
9,1.04e-05,29.3
10,1.07e-05,31.1
11,1.06e-05,33.2
12,9.54e-06,35.5
13,8.48e-06,37.9
14,6.92e-06,40.5
15,4.93e-06,42.9
16,4.2999999999999995e-06,45.5
17,3.63e-06,48.1
18,3.08e-06,50.7
19,2.4e-06,53.4
20,2.01e-06,56.0
21,1.65e-06,58.6
22,1.37e-06,61.3
23,1e-06,63.9
24,6.87e-07,66.5
25,4.06e-07,69.1
26,2.23e-07,71.8
27,1.0300000000000001e-07,74.4
28,3.2799999999999996e-08,77.0
29,6.47e-08,79.6
30,1.2699999999999999e-07,82.3
31,2.39e-07,84.9
32,2.03e-07,87.5
33,1.51e-07,90.1
34,5.89e-07,92.8
35,-999.0,95.4
36,-999.0,98.0
37,-999.0,100.6
38,-999.0,103.2
39,-999.0,105.8
40,-999.0,108.4
41,-999.0,111.1
42,-999.0,113.7
43,-999.0,116.3
44,-999.0,118.9
45,-999.0,121.5
46,-999.0,124.1
47,-999.0,126.7
48,-999.0,129.3
49,-999.0,131.9
50,-999.0,137.0
51,-999.0,139.6
52,-999.0,142.2
53,-999.0,144.8
54,-999.0,147.4
55,-999.0,150.0
