,0
0,-999.0
1,1.3900000000000001e-07
2,2.7e-07
3,5.4e-07
4,1.34e-06
5,2.7000000000000004e-06
6,5.11e-06
7,7.35e-06
8,9.03e-06
9,1.04e-05
10,1.07e-05
11,1.06e-05
12,9.54e-06
13,8.48e-06
14,6.92e-06
15,4.93e-06
16,4.2999999999999995e-06
17,3.63e-06
18,3.08e-06
19,2.4e-06
20,2.01e-06
21,1.65e-06
22,1.37e-06
23,1e-06
24,6.87e-07
25,4.06e-07
26,2.23e-07
27,1.0300000000000001e-07
28,3.2799999999999996e-08
29,6.47e-08
30,1.2699999999999999e-07
31,2.39e-07
32,2.03e-07
33,1.51e-07
34,5.89e-07
35,-999.0
36,-999.0
37,-999.0
38,-999.0
39,-999.0
40,-999.0
41,-999.0
42,-999.0
43,-999.0
44,-999.0
45,-999.0
46,-999.0
47,-999.0
48,-999.0
49,-999.0
50,-999.0
51,-999.0
52,-999.0
53,-999.0
54,-999.0
55,-999.0
